query,count
LESÃO DE PELE,2
g6,2
mancha pele,2
separação,2
dificuldade dee concentração,2
gênero,2
bruximo,2
medo de cancer no estomago,2
halitose,2
LUTO,2
SINUSITE,2
dores pélvicas,2
hemangioma,2
dificuldade para urinar,2
A09,2
Lesao pe,2
medo de doença ginecológica,2
S13,2
hiperemia,2
61,2
pré-síncope,2
uso de testosterona,2
tabagista,2
pré-diabetes,2
imunidade,2
moniliase,2
cirurgia bariatrica,2
angioedema,2
alteracao exame,2
Hematoma,2
Transtorno Afetivo Bipolar,2
ferida exsudativa,2
r01,2
Dermatillomania,2
dúvida sobre ,2
estresse trabalho,2
baixa aguda da visão,2
queloide,2
oftalmo,2
z97,2
chron,2
seletividade alimentar,2
surto,2
suspeita de glaucoma,2
-65,2
altura baixa,2
estenose intestinal,2
abstinência,2
vermelhidão,2
k01,2
infarto previo,2
educação em saude,2
medo de infarto,2
arritmia ventricular,2
terapia ocupacional,2
hematoma unha,2
tatuagem,2
parcial,2
má digestão,2
tricomoniase,2
coletíase,2
Saúde ,2
imunidade baixa,2
doença de familiar,2
polifarmácia,2
PSA elevado,2
n06,2
doença inflamatoria intestinal,2
Kawasaki ,2
morrer,2
CONVULSÃO,2
linfonodo aumentado,2
etilismo,2
l18,2
vaginismo,2
dermatite ocre,2
Transtorno afetivo bipolar,2
fratura patela,2
Acrocordon,2
hiperacusia,2
obstrução,2
equimoses,2
sintomas nas palpebras,2
Prurido vaginal,2
Dor joelho,2
fratura de metatarso,2
dor sacral,2
D09,2
hipotireoidismo subclinico,2
r29,2
R29,2
doença de chron,2
Dente,2
e040,2
dor em membros,2
De quervain,2
SUDORESE,2
fratura do maleolo lateral,2
secreção nasal,2
insolação,2
ciático,2
diástese,2
DOR TORACICA,2
gota,2
ombro ,2
dificuldade respiratória,2
problema de autoestima,2
pressão baixa,2
hiperpotassemia,2
operatorio,2
condromalacia,2
SEIO,2
L15,2
lesão branca na pele,2
Coceira,2
inchaço abdominal,2
Escoriação,2
teste,2
Migranea vestibular,2
rizartrose,2
profilaxia contra,2
y26,2
Herpes,2
gagueira,2
dor em coccix,2
corpo estranho intestino,2
Pedido de encaminhamento,2
ADMINISTRATIVO,2
intestinal,2
exame medico,2
hérnica incisão,2
Escabiose,2
CID M255 Dor articular,2
doença do refluxo,2
alteração espirometria,2
vertigens,2
Angina instável,2
pernas inquietas,2
morte,2
ressecamento na pele,2
Esteatose hepática,2
CONTRACEPÇÃO,2
n[odulo mama,2
pelvica,2
lábios secos,2
lesão joelho,2
sinais e sintomas dos pes,2
Imunização ,2
anemia por deficiencia de ferro,2
erro alimentar,2
caroço no pescoço,2
parotidite,2
Pé,2
Estado da menopausa e do climatério feminino,2
aumento de peso,2
avaliação,2
Tea,2
perda de memória,2
F27,2
movimentação fetal,2
intestino irritável,2
colica menstrual,2
conjutivite,2
adenoma hipofisario,2
Pe lesao,2
dosteopiroses,2
transexual,2
Hipercolesterolemia,2
bocio,2
vicio,2
lesão de quadríceps femoral,2
infeccao urinaria,2
DOR NO PEITO,2
abuso,2
hepatite c,2
mal esta,2
"tosse, febre ",2
dificuldade escolar,2
pintas,2
panturrilha,2
F16,2
mama volumosa,2
infecção intestinal,2
Membro inferiores,2
diástase muscular,2
pólipo intestinal,2
MT perfurada,2
menstrual,2
estalos na patela,2
nodulo ,2
pele amarela,2
presenca protese,2
dificuldade de ereção,2
doraslgia,2
espasmo no olho,2
oxiuriase,2
comportamento de criança,2
hemorragia conjuntiva,2
corrimento uretral,2
Olhos,2
ictericia neonatal,2
Disfunção eretil,2
CID F900 Distúrbios da atividade e da atenção,2
coronavirus,2
dor na penetração,2
polipo intestino,2
pr[e diabetes,2
Esquecimento,2
a23 alimentar,2
Atestado ,2
hematuria ,2
relacionamento amoroso,2
transsexual,2
processo de desmame,2
consulta com médico,2
Obesidade ,2
f17,2
sensação de areia no olho,2
intoxicação alimentar,2
abuso de álcool,2
sem fome,2
Bariátrica ,2
ferritina baixa,2
alteração de cor de pele,2
CONSULTA COM ESPECIALISTA,2
congestão,2
microadenoma,2
mordida,2
NEVO,2
dor de coluna,2
i451,2
implante mamario,2
BARIÁTRICA,2
tsh alterado,2
dor tipo cólica,2
hidradenite,2
esporao calcaneo,2
Familiar,2
Cóccix,2
Transtorno de hiperatividade ,2
trombose ,2
encaminhamento para psicologia,2
crise convulsiva,2
hérnia de hiato,2
atraso escolar,2
b90,2
P76,2
cisto na hipófise,2
sono ruim,2
exercício físico,2
refluxo gas,2
pre diabetes,2
empachamento,2
investigação,2
abortamento,2
gastrite crônica atrófica,2
problema com esposa,2
celiaca,2
gravidez ,2
costela,2
acompanhamento de saúde,2
sinais e sintomas no pé,2
r104,2
atendimento atenção,2
nevo ,2
infecção de urina,2
acrocordon,2
FEBRE,2
lesões de pele,2
g44.8,2
saude da mulher,2
amamentação ,2
Distúrbios da atividade e da atenção,2
DESEMPREGO,2
R97,2
balanite,2
adenomiose,2
doença de graves,2
icterícia,2
duvida,2
manguito rotador,2
Enjôo,2
sonda,2
cisto de baker,2
Isolamento social,2
hernia,2
Aftas,2
drge,2
pré natal,2
a86,2
sangramento intermenstrual,2
Poli farmácia,2
Condromalacia patelar,2
multinodular,2
hérnia epigastrica,2
Sem doença ,2
gastro,2
renovacao,2
recusa amamentação,2
pressao alta,2
hipotireodismo,2
"L819 Transtorno da pigmentação, não especificado",2
canal lacrimal,2
dor ombro,2
alergia em maos,2
adenoma hipofise,2
dor em face,2
mirena,2
avaliação cardiológica,2
dermatite de contato,2
Visual,2
sangramento gravidez,2
Pernas,2
sangrae,2
contração,2
transtorno de humor,2
BRONCOPATIA,2
PUERPÉRIO,2
dificuldade visual,2
dúvida de saúde,2
amigdalite repetição,2
hpv anal,2
microvarizes,2
Informação,2
lombociatalgia,2
rastreamento alterado,2
exantema,2
kawasakis\,2
encaminhamento nutricionista,2
discussão de caso,2
a88,2
medo de morrer,2
medo de sangramento,2
dor em perna,2
depressao recorrente,2
as,2
temporo mandibular,2
cardiopatia congenita,2
USO DE MEDICAÇÃO,2
desidratação,2
rosto vermelho,2
K01,2
medicina preventiva,2
Vigilância,2
Agressao,2
l25,2
sangramento anorretal,2
f13,2
articulação temporo mandibular,2
Lipoproteínas,2
abuso medicação,2
próstata comportamento incerto,2
suspeita de gravidez],2
eficaz,2
x21,2
mordida na língua,2
pele amarelada,2
DERMATITE ATOPICA,2
a62,2
a60.0,2
dependência,2
sangue na urina,2
-35,2
pressão arterial elevada,2
Faringite,2
infecção na pele,2
Criança ,2
colica ,2
Cansaço ,2
fratura hálux,2
infecção trato urinario,2
cromossomo,2
pós cirurgia bariatrica,2
Transexualismo,2
doença de Peyronie,2
d20,2
eritema,2
L01,2
dor quadril,2
notalgia parestésica,2
NAUSEA,2
fratura de pé,2
ulcera de pressao,2
doença de peyronie,2
hipotermia,2
Dor no ombro,2
down,2
ferida ,2
engravidar,2
Boca amarga,2
D29,2
efluvio telogeno,2
cessação de tabagismo,2
atraso na fala,2
pele ,2
potencia sexual,2
coxartrose,2
papiloma virus,2
verme,2
ttosse,2
coleta swab,2
l15,2
pensamentos de morte,2
crise ansiedade,2
alergia vulva,2
cancer de pele,2
lábios,2
exercicios,2
menstru,2
Conflito familiar,2
polipo vesicula biliar,2
artrose coluna ,2
tromboflebite superficial de uma perna,2
esteato-hepatite,2
artrose de coluna,2
bipolaridade,2
nodulo pele,2
pano branco,2
Has,2
-48,2
ureaplasma,2
hipoglicemia,2
queda capilar,2
-68,2
Dmg,2
presbiopia,2
agenesia antebraço,2
dor genital,2
nódulo sólido rim,2
ADMINI,2
CID E039 Hipotireoidismo não especificado,2
espasmo ocular,2
alteração visual,2
preparo,2
comissurite angular,2
Insuficiência cardíaca,2
ginecologica,2
S19,2
p81,2
cromossomo 2,2
adenomegalia,2
teste rapido,2
HEPATITE B,2
Lipoproteína,2
inchaço no olho,2
Dor na barriga,2
vinculo,2
doença,2
z12,2
OTITE,2
gestar,2
fogachos,2
preocupação,2
Descolamento de membranas ovulares,2
perda de memoria,2
torcicolo,2
ideação,2
intestino,2
diarreia crônica,2
f90,2
gestacao,2
medo doença genital,2
dor no punho,2
alteração em exame,2
Outros transtornos não-inflamatórios especificados do útero,2
S06,2
Nutrição,2
medo de demência,2
Cefaleia ,2
medo de cancer de estomago,2
escuta qualificada,2
sinais e sintomas do pé,2
recém nascido,2
CID M796 Dor em membro,2
vaso vagal,2
AVC,2
sexualidade,2
secreção anal,2
ouvidos,2
Polifarmácia,2
Q610,2
acidente de moto,2
mucocele,2
Ds,2
Hipertensao,2
Gestaçao,2
insuficiência venosa,2
dificuldade para dormir,2
Queda,2
estresse no trabalho,2
distensão abdominal,2
membro inferior,2
belly pain,2
"""Quando um vento começou a doar aqui no peito. Um doar com pressão.""",2
alcool,2
uso irregular de medicament,2
tosse febre coriza,2
PUERPERIO,2
cãibra,2
timpano perfurado,2
dmg,2
esteatose heatica,2
Calculose renal,2
arritimia,2
inferior,2
rastream,2
dor sexual,2
gelado,2
trombose venosa membro inferior,2
genero,2
doença vacular cerebral,2
antebraço,2
líquido,2
torção tornozelo,2
mumps,2
psicologo,2
escape menstrual,2
angina instável,2
dúvida diagnóstica,2
cervic,2
pré-natal,2
n,2
Diu,2
CÓLICA,2
Garganta,2
Acidente,2
colite ulcerativa,2
A30,2
consulta rotina,2
gaNGLIOS,2
MÃO,2
Mioma Uterino,2
espinha,2
talassemia,2
relação sexual,2
medo cancer estomago,2
encaminhamento psicologia,2
antecedentes pessoais,2
remedio fez mal,2
cervicite,2
r96,2
vaginite,2
TIREOIDE,2
polipo,2
PAPANICOLAU,2
rotura tendão adutor,2
pós bariátrica,2
Caxumba,2
cisto no pé,2
osteomielite,2
catarro,2
gripal,2
Atraso menstrual,2
sinais e sintomas nas mãos,2
alteração laboratorial,2
mental,2
gestação ,2
edema em mão,2
nocturia,2
Nariz,2
frio,2
coluna ,2
cancro duro,2
x02,2
x19,2
fontanela,2
h86,2
trigliceride,2
comunicação interatrial,2
lesão ombro,2
pé ,2
ferida infectada,2
sdff,2
capsulite adesiva,2
Dor muscular,2
verrugas,2
SANGRAMENTO UTERINO,2
jogos,2
Gases,2
varizes pélvicas,2
avaliação pré operatória,2
reação a vacina,2
cicatriz hipertrofica,2
F01,2
dermatocalaze,2
ARTICULAÇÃO TEMPORO MANDIBULAR,2
eliminação,2
a87 efeito adverso,2
Coriza,2
respiratorio,2
busca saude,2
Dor no joelho,2
g6pd,2
x07,2
refluxo ,2
Infecção urinária,2
reação alergica,2
ostomia,2
paladar,2
CORRIMENTO,2
ultrassonografia morfológica,2
d02,2
indigestão,2
acidente ,2
incontinência urinaria,2
Astigmatismo,2
fratura clavicula,2
lesão traumática de um tendão,2
t82,2
operatório,2
dor na garganta,2
remédio,2
hernia de disco,2
caibra,2
lesao de pele,2
CID N63 Nódulo mamário não especificado,2
mancha na pele,2
sinais e sintomas no joelho,2
rinite alérgica,2
s88,2
"""a98""",2
tonsila faringea,2
Perda de peso ,2
telangiectasias,2
retardo,2
clamidia,2
"1- Refere que há 6 meses iniciou com quadro de dor lombar, nega trauma, refere que a dor vem piorando desde então e na ultima segunda feira não conseguiu levantar da cama. Refere que se fica muito tempo em pé ou muito tempo sentada tem muita dor, essa dor está limitante pois não consegue realizar todas as suas atividades de vida diaria devido a dor 2- Tem antecedente de litiase renal  3- AF : PAI : litiase renal e lombalgia frequente Pensar se não há algo relacionado ao pai que possa estar somatizando os seus problemas de saúde",2
deleção,2
depressivas,2
dor em mandibula,2
anticoncep,2
boca seca,2
d07,2
Medo de câncer,2
alcoolismo,2
Transtornos da articulação temporomandibular,2
Barriga,2
dor coluna,2
exostose,2
testosterona exogena,2
es,2
audiometria,2
Alterações na pele,2
negligencia,2
erupção cutanea,2
energia,2
A04,2
consulta para obtenção de atestado,2
o,2
sinais e sintomas nos olhos,2
pobreza,2
sinais do joelho,2
efeito colateral de medicação,2
FLATULENCIA,2
dor tendão de aquiles,2
DISLIPIDEMIA,2
pitiriase versicolor,2
fonofobia,2
neoplasia maligna tireoide,2
a82,2
lombalgia ,2
pata de ganso,2
baixa ingesta de água,2
hipoestesia,2
rastreamento anormal,2
hiperplasia prostata,2
s06,2
Respiração,2
Déficit no processamento auditivo,2
Atenção ,2
mao,2
HAS,2
manutenção de saude,2
ardência,2
hipertrofia de cornetos nasais,2
assistencial,2
Baixo peso,2
fobia social,2
TONTURA,2
perfil lipidico alterado,2
psicose,2
afastamento do trabalho,2
Ferida,2
exame médico,2
fr,2
ictericia,2
medo de ,2
problema com alcool,2
prep,2
sinéquia uterina,2
pólipo intestino,2
urgencia miccional,2
CID E063 Tireoidite auto-imune,2
ANTICONCEPÇÃO,2
Retocolite,2
z25,2
figado,2
ELETRO,2
negacionismo,2
ansiosa,2
pólipo em colon,2
vascular,2
uvas,2
joelho dor,2
dor na mama,2
leite materno,2
costas,2
TCE,2
esporão,2
trombose venosa central cerebral,2
atraso de crescimento,2
conflito familiar,2
hiperbilirrubinemia neonatal,2
z298,2
e050,2
psicoterapia,2
COMPRESSÃO RADICULAR,2
entrosar,2
sensação de ouvido tampado,2
intolerância a lactose,2
p74,2
buikpijn,2
dor na coxa,2
Relação sexual sem preservativo,2
violencia psicologica,2
artrose joelho,2
-43,2
bursite,2
periodico,2
R05,2
alucinação auditiva,2
artrite reumatoide,2
QUERVAIN,2
Icc,2
Amamentação,2
bronquite,2
afasia,2
Dor torácica ,2
cistite intersticiak,2
Hipertensão intracraniana benigna,2
domestica,2
dor peito trauma,2
hérnia inguinal,2
bloqueio de ramo direito,2
x10,2
dor no pescoço,2
braços,2
medo de problema hormonal,2
prurido nasal,2
L09,2
coleta preventivo,2
unhas,2
ceratose seborreica,2
iamgem,2
hipervitaminose,2
ESTRIAS,2
alergia a medicamento,2
Policisticos ,2
ansiedade e depressão,2
dor ao respirar,2
Violencia domestica,2
ajustamento,2
Fadiga,2
Dor lombar,2
caspa em barba,2
Hematoma subcorionico,2
coceira na vagina,2
dor em joelhos,2
sinais e sintomas penis,2
desânimo,2
transtorno do panico,2
Faringoamigdalite,2
efeito adverso de medicamento,2
perda de consciência,2
graves,2
pediculose,2
S02,2
Pluto,2
ardencia urinaria,2
Luxacao patela,2
nódulo tireoidiano,2
VISÃO,2
hematoma subungueal,2
RESULTADOS,2
Joelho,2
RESULTADO DE EXAMES,2
AnticoncepCao,2
Renovação ,2
escape de urina,2
auto mutilação,2
dor dente,2
cisto pilonidal,2
perda familiar,2
sentirse doente,2
dor no tornozelo,2
fungo na pele,2
-39,2
câimbra,2
prostata,2
deficiencia,2
Sop,2
cansasso,2
plenitude auricular,2
sintomas pés,2
k94,2
de quervain,2
deficiência de g6pd,2
suspeita de gravidez,2
VEGETARIANO,2
adenoide,2
transtorno depressivo,2
microadenoma de hipófise,2
calor,2
Petequias,2
lesão perioral,2
tendão,2
enjôo,2
a47,2
sinais joelho,2
Luto,2
sopro cardíaco,2
poliúria,2
tumor na pele,2
intolerancia lactose,2
alteração fala,2
dor toraxica,2
Solidão ,2
alteração exame tireoide,2
crise,2
Histerectomia,2
risco cirurgico,2
Transtorno alimentar,2
diminuição de acuidade visual,2
osso,2
preocupação com exame,2
disfonia,2
ultrassonografia,2
pensamento de morte,2
k06,1
manchas dolorosas na pele,1
hipertrofia conchas nasais,1
infarto prévio,1
Ostomia,1
candidíase vaginal,1
chorar,1
medo de envelhecer,1
miccional,1
medo osteoporose,1
dor na costela,1
suopr excessivo,1
infecção urinária que não melhorou,1
Congestão nasal,1
Doraaa,1
Con,1
CANDIDA,1
peito carregado,1
alteração tireoide,1
P65,1
vasos,1
contactante tuberculose,1
FRIEIRA,1
medo de ter verme,1
paciente com dificuldade de fazer o número 2,1
dor sacro,1
febre reumatica,1
Atraso de desenvolvimento ,1
depressão pós parto,1
sibilância,1
queixa abdominal,1
verruga perianal,1
bebÊ,1
Bartholin,1
Pais,1
contraceptivo,1
Parestesia mãos ,1
Dor crônica ,1
reumato,1
Alterações neurológicas da face,1
Diverticulite,1
GLICEMIA,1
anticocepcional,1
d03,1
exercicio fisico,1
Medo de estar doente,1
foliculite em couro cabeludo,1
osseo,1
REFLUXO,1
efeito colateral de remedio,1
peitoral,1
"p29, p80",1
prurido no couro cabeludo,1
PÓS OPERATORIO,1
12,1
lavagem ouvido cerume,1
anasarca,1
nódulo no fígado achado incidental,1
dúvidas hormonais,1
criança febre vomito,1
Insuficiência cardiaca,1
Dpoc,1
Calculose,1
fratura face,1
exame fisico,1
"dor de barriga, náusea e diarreia",1
globus ph,1
Nictúria,1
TRISTEZA,1
sindrome,1
irradiação de dor,1
preocupação pais,1
pesadelo,1
auditiva,1
dificuldade de criança socializar,1
Orientação sexual,1
olhos ressacados,1
emocional cid,1
quer fazer check up,1
medo de doença no coração,1
picada de inseto ,1
belly,1
mesntruação escassa,1
~infecção urinaria,1
Exame de urina alterado ,1
nodulação testiculo,1
r10,1
faringite repetição,1
CIATICO,1
P01,1
hormonios femininos,1
Resultado de exames,1
k96,1
síndrome de corquett,1
cisto hepático,1
Dor lombar ,1
transtornos da alimentação,1
PERDA PONDERAL,1
epicondilite lateral,1
dor panturrilha,1
"deficiencia de zinco, alopécia",1
cid s63.4,1
dedão do pe,1
tumor osso temporal,1
granuloma piercing,1
p77,1
Parestesia ,1
sinais e sintomas quadril,1
dores abdominais localizadas,1
neoplasia maligna bexiga,1
consulta recém-nascido,1
dor  lombar,1
nódulos na pele,1
visao,1
sindrome de evans,1
dores articulares,1
gastroparesia,1
bi rads 3,1
mãe com alzheimer,1
proteinuria,1
excisão de tumor na pele,1
diarrea,1
pitiríase versicolor,1
finger pain,1
perda de urina,1
veias,1
Bipolar,1
Episódios depressivos,1
NEVOS,1
DPOC,1
dor no corpo todo,1
h pylori,1
eficas,1
dor abdominal hipogastro,1
a84,1
eritema ocular,1
cisto punho,1
Dheg ,1
idoso,1
desejo de medicamento,1
pitiríase,1
risco medicaçao,1
A23,1
alterado,1
f900,1
enzimas hepati,1
AUMENTO DE FLUXO MENSTRUAL,1
Implante,1
Alergia no olho,1
desconforto,1
labilidade de humor,1
alteração no hemograma,1
Hipertrofia das adenóides,1
Williams-Beuren,1
EXPULSÃO DE DIU,1
íngua,1
microalbuminúria,1
s99,1
ressecamento da pele,1
calculose,1
plicoma anal,1
"tosse, febre e falta de ar",1
banda gástrica,1
exame de urina,1
cistite recorrente,1
LIPOTIMIA,1
relatório ,1
tumor rim,1
Atraso de fala,1
Pré diabetes,1
flictema no pé,1
otites recorrentes,1
Itu de repetição ,1
hálito,1
sintomas gestação,1
A91,1
urticária,1
Drge,1
déficit atenção,1
distonia cervical,1
sentir se doente,1
presenca protese mamaria,1
sangramento ao evacuar,1
citopatol,1
euforia,1
sífili,1
"Tumefação, massa ou tumoração localizadas no membro inferior",1
dores toracicas,1
brain infarct,1
protognatia,1
diastese de reto abdominal,1
retirada fibroma mole,1
wolff,1
doença ginecológica,1
quimioterapico,1
h~ernia epigástrica,1
mão inchada,1
gastrenterite,1
CID M54 Dorsalgia,1
f80,1
CID-10 R10.0,1
Caimbras nas pernas,1
linofnodo,1
Cuidado,1
Preocupação ,1
contra endocardite,1
CID M763 Síndrome da faixa iliotibial,1
nauseas e vomitos,1
diastase,1
Q61,1
falta vitamina,1
ALTERAÇÃO DA VISÃO,1
dor nos pé,1
MÁ FORMAÇÃO CARDÍACA,1
sinais e sintomas tornozelo,1
comunicação,1
s82,1
dor muito intensa,1
teste molecular,1
mudança dos hábitos,1
distonia,1
Violência Sexual,1
pes ,1
sinais e sintomas na pele,1
neoplasia nasal,1
Encaminhamento,1
lesões em face,1
ulcera na pele,1
infeccao do trato urinario,1
vermelhidão na pele,1
petéquias,1
gravid,1
pólipo vesicula,1
dor nas mamas,1
Abdomen,1
Dor em relação sexual,1
renovar encaminhamento,1
lobo tireoidiano,1
infecção ferida operatório,1
z16,1
tétano,1
Dor corpo todo,1
não quer fazer exame,1
preocupação com penis pequeno,1
fertilizção,1
tremor essenial,1
comportamento ,1
d18,1
nódulo suprarrenal,1
tremedeira na pálpebra,1
RECÉM NASCIDO,1
Resfriado,1
nodulação,1
g258,1
retenção fecal,1
dor após contusão,1
FERIDA ANAL,1
sintomas emocionais,1
ferimento na perna,1
fraqueza em membros inferiores,1
sintomas menopausa,1
ASTIGMATISMO,1
VARRUGA,1
Negligência cuidados,1
urina espumosa,1
atraso desenvolvimento,1
lesão nariz,1
receita médica,1
tendao de aquiles,1
r27,1
fever,1
has ,1
dor sacro-coccix,1
saude mental,1
exame manutenção,1
Esterilização,1
CAIBRA,1
S51,1
PSICOLOGICO,1
Desenprego,1
torcicolor,1
preve,1
VEGETARIANA,1
DEFORMIDADES,1
PULMÃO,1
comportamento adulto,1
emocional ,1
mareos,1
restrição de sono,1
testosterona exógena,1
Irritabilidade,1
incisão cesariana,1
dúvida medicamentosa,1
trombocitose essencial,1
- Miopia e Astigmatismo,1
Violência,1
descarga papilar mama,1
neoplasia pescoço,1
volvo intestinal,1
Histiocitose,1
neoplasia gastrica,1
sangramento menstrual escessivo,1
preferência sexuak,1
materno,1
ferida superficial,1
a99,1
deficiência de vitamina,1
p78,1
MIALGIA,1
faringi,1
sobrecarga lombar,1
y98,1
segurança,1
endoscopia,1
dor de cabeça e vômito,1
amputação,1
exame de ultrassonografia,1
Infecção sexualmente transmitida,1
DOR CRONICA,1
PÉS,1
y25,1
DORSALGIA,1
CID I84 Hemorróidas,1
r07,1
chiaço,1
ruptura ligamento dedo,1
absorvente interno,1
dor abdominal com retenção líquida,1
Dequervain,1
pontadas,1
infusao de ferro,1
verruga dedo,1
hematoma da pele,1
concentraçõa,1
problema na escola,1
escapes menstruais,1
Vasectomia ,1
i635,1
tossssee,1
indicado por outro prestador,1
hematomas,1
lesão dedo,1
gestação alto risco,1
demanda administratica,1
sintomas neurológicos,1
BRUXISMO ,1
vias aéreas,1
dor abdominal gestação,1
bhcg negativo,1
lesoes pele,1
Dor nas costas,1
úlcera pele,1
dúvida sobre medicação,1
B16,1
BURNOUT,1
supraespinhal ,1
CID Z392 Seguimento pós-parto de rotina,1
hepatite B crônica,1
erupção localizada,1
conflitos adolescente,1
tendinite crônica polegar mão,1
pedra vesicula,1
jorlho,1
Risco aumentado de diabetes,1
dor ao evacuar,1
quer saber dos hormonios,1
malfor,1
conflito trabalho,1
perda de força,1
PÓS PARTO,1
"CID D227 Nevo melanocítico dos membros inferiores, incluindo quadril",1
"dislexia, discalculia",1
habito sexual,1
dor quando tosse,1
Colocação e ajustamento de óculos e lentes de contato,1
dor na nuca,1
tremedeira,1
ferida panturrilha,1
medo fratura,1
neoplasia de colo do utero,1
ma formaçao renal,1
escara,1
RASTREAMENTO MAMA,1
distr,1
fluxo menstrual anormal,1
Checkup,1
dor dedo,1
Membrana Neovascular Subretiniana (MNVSR),1
estalo na mandíbula,1
vitamina d ,1
sinais e sintomas nos pes,1
diagnóstico HIV,1
Cistite de repetição ,1
daop,1
ansia de vomito,1
suor,1
dúvida medicamento,1
fratura de rádio,1
Psicologicos,1
derrame pleurak,1
sinais e sintomas nas pernas,1
"falta de ar, fadiga, ",1
Tosse ,1
pensamentos morte,1
infecção viral,1
tontura após medicacao,1
heinke,1
luxação da rótula,1
Alterações da pele ,1
f320,1
alteração brusca do humor,1
Gastrta,1
doméstico,1
SINTO9MAS URINÁRIOS,1
lesão cutânea no pênis,1
adenomahipofisario,1
sintomas pré menstruais,1
 R05 CID,1
ferida perna,1
alteração nas fezes,1
diastese,1
dor de barrigaaa,1
Quadril,1
medo de não estar ganhando peso,1
episodios depressivos,1
Amig,1
teleangectasias,1
divorce,1
bolhas,1
Gravidez ,1
 R 0 5 CID,1
Úlcera,1
qwerty,1
adenoma de papila,1
Obes,1
SANGRAMENTO UTERINO ANORMAL,1
Leiomioma do útero,1
ianomami,1
nodulo de pele,1
alodínia,1
concepção,1
coceira anal,1
h26,1
medo de calvicie,1
questões administrativas,1
estiramento,1
Sushskahd,1
RESULTADO DE EXAME,1
p01 asma,1
violencia psicologia,1
impotenciav,1
mal estar aos esforços,1
Gastrurs,1
divagando,1
diastase muscular abdominal,1
úlcera na boca,1
escuta saude mental,1
inflamação pele,1
tinea corporis,1
ferimenti,1
r97,1
Medo ,1
espasmos,1
n89,1
PUERICUL,1
cisto sinovial punho,1
"tosse ,e febre",1
hipertrofia endometrial,1
disfunção de at,1
administr,1
resultado de exame anormaol,1
claudicação,1
fator de risco neoplasia,1
Picada de inseto,1
Lavagem ouvido,1
Cisto paralabral ,1
deficiencia vitaminca,1
Insatisfação no trabalho,1
Exame preventivi,1
medo de dst,1
ver exame,1
nasofaringite,1
seguiment com nutricionista,1
K02,1
desmame para a criança,1
utero bicorno,1
onicocriptose ,1
Sangramento anormal do útero ou da vagina,1
FADIGA,1
Deficiência de ferro,1
sintomas nas pernas,1
doenca renal cronica,1
mastalgia masculina,1
risco de intoxicação vitamina,1
Síndrome de Cockett,1
aliment,1
exame uterino,1
maturador lento,1
estresse do cuidador,1
DESGASTE DE DISCO VERTEBRAL,1
esteato0hepatite,1
epididimite,1
sintoma na unha,1
infertilidade feminina,1
CID E059 Tireotoxicose não especificada,1
CONTRATURA MUSCULAR,1
h541,1
SAÚDE MENTAL,1
dispepsi,1
dpolaciuria,1
uso de maconha,1
sinais e sintomas dos pé,1
sinais e sintomas pés ,1
candidiase recorrente,1
nefro,1
"Alterações neurológicas da face, como",1
DOR EM TRAPEZIO,1
trombose venosa centrak cerebral,1
vagionose,1
apendicectomia,1
CID-10 R10,1
disfunção de temporo mandibular,1
Trombose,1
RASTREIO,1
dor vaginal,1
fungo em unha do pé,1
comportamento do adolescente,1
Abandono,1
irritabilidade ,1
Gordura no figado,1
antecedente familiar,1
vida sexual,1
rim único,1
CID K590 Constipação,1
- Aumento da próstata,1
ileopsoas,1
alteração no papanicolau,1
joelho varo,1
retirada de implanon,1
coxa,1
medidas de conforto,1
exame ginecológico,1
dor suprapubica,1
cisto em coxa,1
lesão muscular,1
diferença de pressão arterial em membros,1
r83,1
pe plano,1
ctontura,1
mao pe boca,1
orientação nutricional,1
ATIVIDADE FISICA,1
sinais pênis,1
Câncer ,1
d04,1
alucinação,1
perdeu 9kgs,1
Nefrectomia ,1
Distúrbio do processamento da mensagem,1
massa magra,1
sinais pés,1
metrorragia gravides,1
Álcool ,1
perda líquida,1
dor no ânus,1
aminiótico,1
tireoid,1
williams-beuren,1
azia gravidez,1
septo nasal,1
pro=blema alimentar criança,1
F60.2,1
Exegese de novo,1
dor de barrigfa,1
formigamento de extremidades,1
Impotência,1
massa abdominal,1
xixi nas calcas,1
divórcio dos pais,1
rtina,1
sindrome panico,1
Reabilitação fratura,1
cisto ovariano complexo,1
sifilis seecundária,1
-40,1
entorse distensão de joelho,1
dificuldade de engolir,1
vesícula,1
F56,1
cuidados com alimentação,1
Tornozelo,1
curativo,1
s87,1
abscesso anal,1
sintomas,1
inalação ,1
avaliação pele,1
e03,1
Mancha de pele,1
dor na pern,1
Dst,1
MENSTRUAÇÃO,1
faltas,1
X04,1
fezes branca,1
DOR EM BRAÇO,1
baker,1
colicas menstruais,1
Complicação do puerpério não especificada,1
micose pele,1
a02,1
sinais e sintomas das mãos,1
L78,1
entorse do pe,1
menstruaão,1
dor de garganta recorrente,1
ejaculção precoce,1
encaminha,1
a07,1
dor evacuar,1
sono ,1
distratibilidade,1
doença ocular família,1
prrido vulvar,1
sangramento gestação,1
"AVC em janeiro com alta 6 de fevereiro. Está com afasia global mista, está com fala incompreensível.",1
trouxe resultados de exames de rotina,1
atencão,1
CIRURGIA BARIATRICA,1
incontin,1
miséria,1
cid saude lgbtqia+,1
Genital,1
cirurgia nasal,1
Barriga inchada,1
x18,1
versicolor,1
